name,lat,lon,elevation
The Sentinel,48.92493,-114.01475,8835
West Flattop Mountain,48.85048,-113.91155,6830
Trapper Peak,48.81404,-113.95647,7702
Wolf Gun Mountain,48.74924,-113.9945,8000
Rogers Peak,48.68651,-113.93723,7320
Belton Hills,48.52182,-113.93002,6339
Lincoln Peak,48.59702,-113.78408,7420
Loneman Mountain,48.48909,-113.76938,7181
Threesuns Mountain,48.49027,-113.65581,8205
Threetops Mountain,48.45753,-113.70453,6790
Statuary Mountain,48.39168,-113.49219,8250
Rising Bull Ridge,48.4491,-113.45522,8400
Bison Mountain,48.46527,-113.31032,7833
Running Rabbit Mountain,48.26055,-113.54021,7674
Snowslip Mountain,48.26257,-113.51529,7290
Mount Shields,48.27545,-113.51606,7131
Riverview Mountain,48.36672,-113.61647,6390
Soldier Mountain,48.34077,-113.50102,7320
Skeleton Mountain,48.37184,-113.36209,7450
Basin Mountain,48.55112,-113.36331,6920
